Sachin Tendulkar
Virat Kohli
Ricky Ponting
Kumar Sangakkara
Jacques Kallis
Hashim Amla
Mahela Jayawardene
Brian Lara
Rahul Dravid
AB de Villiers
David Warner
Joe Root
Rohit Sharma
Steve Smith
Chris Gayle
Sanath Jayasuriya
Shivnarine Chanderpaul
Younis Khan
Kane Williamson
Matthew Hayden
Ross Taylor
Tillakaratne Dilshan
Mohammad Yousuf
Alastair Cook
Sourav Ganguly
Virender Sehwag
Mark Waugh
Graeme Smith
Michael Clarke
Sunil Gavaskar
Herschelle Gibbs
Desmond Haynes
Inzamam-ul-Haq
Viv Richards
Steve Waugh
Gary Kirsten
Adam Gilchrist
Kevin Pietersen
Aravinda de Silva
Javed Miandad
Saeed Anwar
Babar Azam
Allan Border
Gordon Greenidge
Mohammad Azharuddin
Don Bradman
Graham Gooch
Nathan Astle
Marvan Atapattu
Greg Chappell
